sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Austria;11;AT;Apples;515;Fruits;m3;30824100;29088300;29483100;30999300;14549100;17902400;14039500;29880700;16124700;22453200;17534400;17349200;22871300;42912500;23271500;46997800;33486500;29730100;27066600;35113200;35274600;27533000;45399400;30554500;47565100;47624100;49337600;49396800;51199000;11728800;122976000;71050800;86155104;49892800;65094500;62041900;102004000;67812800;85065600;72202896;99711504;64846900;79897000;66437100;81839504;82034600;74329296;95424800;85617696;39462700;48690200;79354000;41555000;49020000;38167200;25547900
Austria;11;AT;Asparagus;367;Vegetables;m3;240262;260855;226532;233396;205940;253990;219667;302042;308905;274584;274584;267717;343230;411880;411880;480528;514846;617811;617811;686461;686461;720784;755108;823760;892399;892404;961048;1029690;1098340;1125810;1166980;1201310;1199740;1304260;1057150;1125800;1221900;1586340;1716150;1743610;2320250;2402600;2430060;2546750;3240100;3411700;3480380;3226360;3295000;3349910;3473470;4125650;4183930;4233450;4319250;5528200
Austria;11;AT;"Carrots and turnips";426;Vegetables;m3;2150630;1806520;2466050;2599870;2881830;2384800;2580750;2690670;2647660;3092110;3412330;4205660;3722970;3374090;3751650;3354970;3412320;3584370;3359750;3407550;3488790;2910510;2489940;2709780;2824490;2824490;2590310;2289220;3225940;3096890;3073000;3770760;3412320;4583220;4678800;4712260;5276200;6098200;6399290;6040870;6485330;6289380;6408850;6714720;6552230;6810310;7097060;7125730;7331230;7756590;8263170;7957310;8073920;8238590;7799070;8671180
Austria;11;AT;Cherries;531;Fruits;m3;20274500;12768400;19216000;15245400;52031100;38502300;37313300;17841800;34189900;26894800;23539600;19197800;34863100;37741200;25679500;27952000;24815600;48052400;30566800;39353200;19312200;34386000;32417700;25469300;7257770;7257720;7257710;7257700;7257730;19989000;19988300;19988500;19988600;19988800;19988800;19988800;19988300;19988400;19988500;19988300;19988800;19988000;19988600;19988900;19988600;19988700;19988700;19988500;19988500;3496420;6377380;3505080;5454490;5121730;4645470;2429800
Austria;11;AT;"Chillies and peppers, green";401;Vegetables;m3;1099610;1150950;1339210;1416230;1031150;2802510;3906400;4137440;4351370;4334270;4561020;4804900;4578140;4543910;5065900;4257240;4638050;4582420;2990770;2875240;2926580;2729780;928463;945580;487765;517717;855728;924187;885680;821497;842890;757318;1009760;847171;958416;962692;830056;812940;842935;791588;770237;740183;761598;718812;680303;676025;701697;727369;697418;676025;697418;727368;735926;747811;732482;717997
Austria;11;AT;"Cucumbers and gherkins";397;Vegetables;m3;6739300;7265140;10113200;7450260;7950860;9515810;10857800;10605300;8897380;8678630;8863740;8005540;8375760;8186450;8203270;7887750;9103550;7706870;7980330;7298810;6343860;5561390;2397880;3382270;3651520;3975440;3680950;3386480;3146690;2991040;2940560;3003660;2658700;2511490;2759670;2507260;2402090;2027660;2351600;2418920;2435740;2347400;2330570;2069750;1796310;1716380;1703760;1535480;1792100;1729000;1665900;1716380;1542440;1668070;1689890;1570600
Austria;11;AT;Grapes;560;Fruits;m3;148056000;148056992;164507008;164507008;186830000;186828992;189092992;189092000;191128000;192970000;196144000;196144992;196146000;204987008;183179008;183179008;193294000;200192000;200192992;222006000;225599008;227488000;230482000;225568000;220532000;222946000;221234000;221307008;222424000;225959008;226312000;220526000;207183008;202692000;199678000;199678000;196292000;197112000;197187008;191379008;189936000;189327008;185140000;179064992;188084000;180748000;181788000;187627008;185472000;179572992;180295008;179374000;180932992;184187008;180042000;191182000
Austria;11;AT;"Lettuce and chicory";372;Vegetables;m3;1018340;1018330;691700;1191260;714115;1162440;989515;1300140;1918180;1924590;2193590;2440160;2481790;2782810;3397650;2260830;2411340;3275970;3551370;3801140;4031710;3144670;1950210;2558650;2731580;2846860;2661130;2862860;2958940;2862860;2843650;1876560;1716440;1886160;5069260;5267800;5344650;5008420;5319040;4992400;5078860;4963580;4982800;4921960;4905940;4992400;5235790;5043640;5146110;4713800;4960380;5251790;5176550;5181550;5015160;5344660
Austria;11;AT;Maize;56;Cereals;m3;202734000;213604000;196248000;197260000;197127008;218172000;237311008;290459008;462270016;488775008;493175008;522476000;579884992;586556032;567046976;630259008;655126016;700814016;740763008;760992000;745617984;779150016;820238976;815281984;819513024;854497024;817489984;790876032;765859008;781209024;730840000;680572992;670232000;707817984;683708032;794102016;742707008;675374976;698400000;740700032;768713984;772724992;774643968;794529024;747934976;714644992;762856000;853308032;789894016;793289984;856249024;866518016;796369024;853164032;744348032;770086016
Austria;11;AT;"Mushrooms and truffles";449;Vegetables;m3;411641;405675;416852;397721;412826;393042;325408;328784;380123;533257;382492;393110;549573;1122780;855460;412096;539780;531077;533257;531064;554879;555905;389990;395896;251799;389692;398311;335577;1015220;778104;296471;281018;234178;233147;140056;94444.5;94034;110149;109675;109204;130485;108275;86253.203125;96400.6015625;95774.703125;95156.703125;105052;104383;114094;133991;143753;143020;121756;120064;123102;135333
Austria;11;AT;"Peaches and nectarines";534;Fruits;m3;6397880;4217240;4559610;4303850;3320660;3782590;4620280;3219390;5225580;3810070;2553360;2359280;3510170;3431020;4454710;3200200;2535430;4474960;2932460;5733930;3282920;6362610;4845460;5442370;2430980;2157990;1780990;2274990;2275000;2673150;2888140;3300770;3335610;3335610;2585980;2452320;2173390;2173340;2173390;2167560;2167590;1458550;1458620;1458600;1383060;1197110;1144800;1104130;1127380;244399;244381;244375;228585;221832;214425;212812
