sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";2016
Brazil;21;BR;"Almonds, with shell";221;Fruits;m3/ton;0
Brazil;21;BR;Apples;515;Fruits;m3/ton;333.9289855957031
Brazil;21;BR;Avocados;572;Fruits;m3/ton;491.0989990234375
Brazil;21;BR;Bananas;486;Fruits;m3/ton;789.6329956054688
Brazil;21;BR;"Carrots and turnips";426;Vegetables;m3/ton;0
Brazil;21;BR;"Cocoa beans";661;Lux-foods;m3/ton;33385.8984375
Brazil;21;BR;Coconuts;249;Fruits;m3/ton;939.1510009765625
Brazil;21;BR;Dates;577;Fruits;m3/ton;0
Brazil;21;BR;Grapes;560;Fruits;m3/ton;409.1050109863281
Brazil;21;BR;"Lemons and limes";497;Fruits;m3/ton;305.760986328125
Brazil;21;BR;"Lettuce and chicory";372;Vegetables;m3/ton;0
Brazil;21;BR;Maize;56;Cereals;m3/ton;1137.25
Brazil;21;BR;"Mushrooms and truffles";449;Vegetables;m3/ton;0
Brazil;21;BR;Olives;260;Fruits;m3/ton;7617.35986328125
Brazil;21;BR;"Onions (inc. shallots), green";402;Vegetables;m3/ton;0
Brazil;21;BR;Pineapples;574;Fruits;m3/ton;127.4020004272461
Brazil;21;BR;Potatoes;116;Vegetables;m3/ton;144.64999389648438
Brazil;21;BR;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;0
Brazil;21;BR;"Rice, paddy";27;Cereals;m3/ton;1300.6199951171875
Brazil;21;BR;Strawberries;544;Fruits;m3/ton;791.7130126953125
Brazil;21;BR;Tomatoes;388;Vegetables;m3/ton;68.38870239257812
Chile;40;CL;"Almonds, with shell";221;Fruits;m3/ton;2125.5400390625
Chile;40;CL;Apples;515;Fruits;m3/ton;188.17999267578125
Chile;40;CL;Avocados;572;Fruits;m3/ton;1832.47998046875
Chile;40;CL;Bananas;486;Fruits;m3/ton;0
Chile;40;CL;"Carrots and turnips";426;Vegetables;m3/ton;48.51620101928711
Chile;40;CL;"Cocoa beans";661;Lux-foods;m3/ton;0
Chile;40;CL;Coconuts;249;Fruits;m3/ton;0
Chile;40;CL;Dates;577;Fruits;m3/ton;0
Chile;40;CL;Grapes;560;Fruits;m3/ton;202.9530029296875
Chile;40;CL;"Lemons and limes";497;Fruits;m3/ton;371.8760070800781
Chile;40;CL;"Lettuce and chicory";372;Vegetables;m3/ton;420.4800109863281
Chile;40;CL;Maize;56;Cereals;m3/ton;531.9619750976562
Chile;40;CL;"Mushrooms and truffles";449;Vegetables;m3/ton;0
Chile;40;CL;Olives;260;Fruits;m3/ton;1494.699951171875
Chile;40;CL;"Onions (inc. shallots), green";402;Vegetables;m3/ton;0
Chile;40;CL;Pineapples;574;Fruits;m3/ton;0
Chile;40;CL;Potatoes;116;Vegetables;m3/ton;156.4530029296875
Chile;40;CL;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;196.33900451660156
Chile;40;CL;"Rice, paddy";27;Cereals;m3/ton;1249.550048828125
Chile;40;CL;Strawberries;544;Fruits;m3/ton;226.6300048828125
Chile;40;CL;Tomatoes;388;Vegetables;m3/ton;37.02080154418945
France;68;FR;"Almonds, with shell";221;Fruits;m3/ton;4120.52978515625
France;68;FR;Apples;515;Fruits;m3/ton;188.48599243164062
