,Years,Item Name,Country Name,Item Category,Weight_t,uWF
0,1961,Apples,Austria,Fruits,456000.0,67.5967025756836
1,1961,Apples,France,Fruits,2141999.0,314.2130126953125
2,1961,Apples,Germany,Fruits,851001.0,147.55799865722656
3,1961,Apples,Greece,Fruits,196000.0,1032.219970703125
4,1961,Apples,Hungary,Fruits,349500.0,793.6959838867188
5,1961,Apples,Italy,Fruits,2166998.0,345.3089904785156
6,1961,Apples,Morocco,Fruits,4000.0,1493.6199951171875
7,1961,Apples,Netherlands,Fruits,292000.0,147.55799865722656
8,1961,Apples,Poland,Fruits,285000.0,793.6959838867188
9,1961,Apples,Portugal,Fruits,70000.0,1493.6199951171875
10,1961,Apples,Romania,Fruits,146000.0,793.6959838867188
11,1961,Apples,Spain,Fruits,385499.0,378.4259948730469
12,1961,Apples,Turkey,Fruits,283000.0,759.3839721679688
13,1961,Asparagus,Austria,Vegetables,150.0,
14,1961,Asparagus,France,Vegetables,68480.0,2087.469970703125
15,1961,Asparagus,Germany,Vegetables,16300.0,2165.760009765625
16,1961,Asparagus,Hungary,Vegetables,538.0,
17,1961,Asparagus,Italy,Vegetables,30700.0,1217.3299560546875
18,1961,Asparagus,Morocco,Vegetables,28000.0,3047.52001953125
19,1961,Asparagus,Netherlands,Vegetables,5623.0,379.4240112304688
20,1961,Asparagus,Spain,Vegetables,15000.0,1716.9200439453125
21,1961,Asparagus,Turkey,Vegetables,15.0,
22,1961,Carrots and turnips,Austria,Vegetables,14510.0,148.2169952392578
23,1961,Carrots and turnips,France,Vegetables,606350.0,159.36300659179688
24,1961,Carrots and turnips,Germany,Vegetables,200762.0,150.22799682617188
25,1961,Carrots and turnips,Greece,Vegetables,6341.0,355.5509948730469
26,1961,Carrots and turnips,Hungary,Vegetables,64236.0,184.05099487304688
27,1961,Carrots and turnips,Italy,Vegetables,133401.0,140.73399353027344
28,1961,Carrots and turnips,Morocco,Vegetables,23000.0,868.1019897460938
29,1961,Carrots and turnips,Netherlands,Vegetables,105576.0,95.1981964111328
30,1961,Carrots and turnips,Poland,Vegetables,352000.0,92.2677001953125
31,1961,Carrots and turnips,Portugal,Vegetables,35000.0,162.7550048828125
32,1961,Carrots and turnips,Spain,Vegetables,14507.0,446.3789978027344
33,1961,Carrots and turnips,Turkey,Vegetables,30000.0,720.9990234375
34,1961,Cherries,Austria,Fruits,36029.0,562.72802734375
35,1961,Cherries,France,Fruits,92500.0,978.0260009765624
36,1961,Cherries,Germany,Fruits,184245.0,562.72802734375
37,1961,Cherries,Greece,Fruits,17351.0,2063.010009765625
38,1961,Cherries,Hungary,Fruits,45500.0,342.6969909667969
39,1961,Cherries,Italy,Fruits,202501.0,2063.010009765625
40,1961,Cherries,Morocco,Fruits,20.0,
41,1961,Cherries,Netherlands,Fruits,9308.0,562.72802734375
42,1961,Cherries,Poland,Fruits,36700.0,562.72802734375
43,1961,Cherries,Portugal,Fruits,29600.0,618.739990234375
44,1961,Cherries,Romania,Fruits,51300.0,342.6969909667969
45,1961,Cherries,Spain,Fruits,47400.0,417.760009765625
46,1961,Cherries,Turkey,Fruits,48000.0,1053.0699462890625
47,1961,"Chillies and peppers, green",Austria,Vegetables,5257.0,209.1699981689453
48,1961,"Chillies and peppers, green",France,Vegetables,2830.0,462.6900024414063
49,1961,"Chillies and peppers, green",Greece,Vegetables,14678.0,199.9019927978516
50,1961,"Chillies and peppers, green",Hungary,Vegetables,146432.0,308.5570068359375
51,1961,"Chillies and peppers, green",Italy,Vegetables,231099.0,206.8459930419922
52,1961,"Chillies and peppers, green",Morocco,Vegetables,26000.0,192.3580017089844
53,1961,"Chillies and peppers, green",Portugal,Vegetables,500.0,
54,1961,"Chillies and peppers, green",Romania,Vegetables,104000.0,447.5060119628906
55,1961,"Chillies and peppers, green",Spain,Vegetables,356701.0,100.8000030517578
56,1961,"Chillies and peppers, green",Turkey,Vegetables,240000.0,354.1849975585937
57,1961,Cucumbers and gherkins,Austria,Vegetables,21800.0,309.1419982910156
58,1961,Cucumbers and gherkins,France,Vegetables,50660.0,247.23599243164065
59,1961,Cucumbers and gherkins,Germany,Vegetables,97490.0,352.9079895019531
60,1961,Cucumbers and gherkins,Greece,Vegetables,50853.0,267.8529968261719
61,1961,Cucumbers and gherkins,Hungary,Vegetables,67280.0,802.4910278320312
62,1961,Cucumbers and gherkins,Italy,Vegetables,54000.0,294.3219909667969
63,1961,Cucumbers and gherkins,Morocco,Vegetables,1500.0,492.2640075683594
64,1961,Cucumbers and gherkins,Netherlands,Vegetables,145647.0,44.41260147094727
65,1961,Cucumbers and gherkins,Poland,Vegetables,216200.0,315.9729919433594
66,1961,Cucumbers and gherkins,Romania,Vegetables,80000.0,583.3159790039062
67,1961,Cucumbers and gherkins,Spain,Vegetables,60538.0,239.3860015869141
68,1961,Cucumbers and gherkins,Turkey,Vegetables,270000.0,306.69000244140625
69,1961,Grapes,Austria,Fruits,171000.0,865.823974609375
70,1961,Grapes,France,Fruits,7491004.0,789.0050048828125
71,1961,Grapes,Germany,Fruits,482500.0,518.6090087890625
72,1961,Grapes,Greece,Fruits,1420137.0,625.85302734375
73,1961,Grapes,Hungary,Fruits,591297.0,1411.280029296875
74,1961,Grapes,Italy,Fruits,8467007.0,820.656005859375
75,1961,Grapes,Morocco,Fruits,357000.0,1606.739990234375
76,1961,Grapes,Netherlands,Fruits,9008.0,358.29998779296875
77,1961,Grapes,Portugal,Fruits,1062998.0,1028.43994140625
