,Years,Item Name,Country Name,Item Category,Weight_t,uWF
0,1961,"Almonds, with shell",France,Fruits,3680.0,5325.1298828125
1,1961,"Almonds, with shell",Greece,Fruits,41146.0,5919.39990234375
2,1961,"Almonds, with shell",Hungary,Fruits,1000.0,5919.39990234375
3,1961,"Almonds, with shell",Italy,Fruits,328500.0,5919.39990234375
4,1961,"Almonds, with shell",Morocco,Fruits,8000.0,17585.69921875
5,1961,"Almonds, with shell",Portugal,Fruits,16000.0,17585.69921875
6,1961,"Almonds, with shell",Spain,Fruits,204001.0,5325.1298828125
7,1961,"Almonds, with shell",Turkey,Fruits,27400.0,2566.260009765625
8,1961,"Anise, badian, fennel, corian.",Greece,Lux-foods,278.0,8700.0498046875
9,1961,"Anise, badian, fennel, corian.",Hungary,Lux-foods,100.0,2606.60009765625
10,1961,"Anise, badian, fennel, corian.",Italy,Lux-foods,200.0,8700.0498046875
11,1961,"Anise, badian, fennel, corian.",Morocco,Lux-foods,6500.0,4726.27001953125
12,1961,"Anise, badian, fennel, corian.",Netherlands,Lux-foods,6000.0,2011.1700439453125
13,1961,"Anise, badian, fennel, corian.",Poland,Lux-foods,1100.0,3807.280029296875
14,1961,"Anise, badian, fennel, corian.",Spain,Lux-foods,900.0,4726.27001953125
15,1961,"Anise, badian, fennel, corian.",Turkey,Lux-foods,2000.0,4887.0400390625
16,1961,Apples,Austria,Fruits,456000.0,67.5967025756836
17,1961,Apples,France,Fruits,2141999.0,314.2130126953125
18,1961,Apples,Germany,Fruits,851001.0,147.55799865722656
19,1961,Apples,Greece,Fruits,196000.0,1032.219970703125
20,1961,Apples,Hungary,Fruits,349500.0,793.6959838867188
21,1961,Apples,Italy,Fruits,2166998.0,345.3089904785156
22,1961,Apples,Morocco,Fruits,4000.0,1493.6199951171875
23,1961,Apples,Netherlands,Fruits,292000.0,147.55799865722656
24,1961,Apples,Poland,Fruits,285000.0,793.6959838867188
25,1961,Apples,Portugal,Fruits,70000.0,1493.6199951171875
26,1961,Apples,Romania,Fruits,146000.0,793.6959838867188
27,1961,Apples,Spain,Fruits,385499.0,378.4259948730469
28,1961,Apples,Turkey,Fruits,283000.0,759.3839721679688
29,1961,Apricots,Austria,Fruits,33952.0,1465.6600341796875
30,1961,Apricots,France,Fruits,93910.0,671.5339965820312
31,1961,Apricots,Germany,Fruits,2900.0,671.5339965820312
32,1961,Apricots,Greece,Fruits,22295.0,1897.25
33,1961,Apricots,Hungary,Fruits,130400.0,612.7490234375
34,1961,Apricots,Italy,Fruits,60000.0,1465.6600341796875
35,1961,Apricots,Morocco,Fruits,4800.0,778.35400390625
36,1961,Apricots,Portugal,Fruits,8296.0,778.35400390625
37,1961,Apricots,Romania,Fruits,33600.0,612.7490234375
38,1961,Apricots,Spain,Fruits,109900.0,777.39501953125
39,1961,Apricots,Turkey,Fruits,114900.0,1360.0899658203125
40,1961,Artichokes,France,Vegetables,160000.0,867.9169921875
41,1961,Artichokes,Greece,Vegetables,24909.0,943.218994140625
42,1961,Artichokes,Italy,Vegetables,416900.0,773.656005859375
43,1961,Artichokes,Morocco,Vegetables,28000.0,1404.3199462890625
44,1961,Artichokes,Spain,Vegetables,91000.0,750.6420288085938
45,1961,Artichokes,Turkey,Vegetables,2500.0,750.4739990234375
46,1961,Asparagus,Austria,Vegetables,150.0,
47,1961,Asparagus,France,Vegetables,68480.0,2087.469970703125
48,1961,Asparagus,Germany,Vegetables,16300.0,2165.760009765625
49,1961,Asparagus,Hungary,Vegetables,538.0,
50,1961,Asparagus,Italy,Vegetables,30700.0,1217.3299560546875
51,1961,Asparagus,Morocco,Vegetables,28000.0,3047.52001953125
52,1961,Asparagus,Netherlands,Vegetables,5623.0,379.4240112304688
53,1961,Asparagus,Spain,Vegetables,15000.0,1716.9200439453125
54,1961,Asparagus,Turkey,Vegetables,15.0,
55,1961,Avocados,Morocco,Fruits,1000.0,718.6370239257812
56,1961,Avocados,Spain,Fruits,340.0,630.4359741210938
57,1961,Bananas,Greece,Fruits,707.0,14531.400390625
58,1961,Bananas,Italy,Fruits,700.0,14531.400390625
59,1961,Bananas,Portugal,Fruits,33800.0,192.4739990234375
60,1961,Bananas,Spain,Fruits,315300.0,314.67401123046875
61,1961,Bananas,Turkey,Fruits,5200.0,914.3579711914062
62,1961,Barley,Austria,Cereals,511571.0,659.3670043945312
63,1961,Barley,France,Cereals,5412779.0,1397.8900146484375
64,1961,Barley,Germany,Cereals,3669020.0,1236.5699462890625
65,1961,Barley,Greece,Cereals,221442.0,2141.1298828125
66,1961,Barley,Hungary,Cereals,984381.0,1024.3699951171875
67,1961,Barley,Italy,Cereals,278700.0,2041.81005859375
68,1961,Barley,Morocco,Cereals,571679.0,8518.7802734375
69,1961,Barley,Netherlands,Cereals,385076.0,584.6480102539062
70,1961,Barley,Poland,Cereals,1338997.0,1626.27001953125
71,1961,Barley,Portugal,Cereals,52051.0,7619.77001953125
72,1961,Barley,Romania,Cereals,468100.0,1176.469970703125
73,1961,Barley,Spain,Cereals,1743697.0,2404.929931640625
74,1961,Barley,Turkey,Cereals,2948004.0,3191.389892578125
75,1961,"Beans, dry",Austria,Vegetables,1160.0,1395.7099609375
