sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";2016
Austria;11;AT;Apples;515;Fruits;m3/ton;251.2899932861328
Austria;11;AT;Asparagus;367;Vegetables;m3/ton;2152.719970703125
Austria;11;AT;"Carrots and turnips";426;Vegetables;m3/ton;88.05380249023438
Austria;11;AT;Cherries;531;Fruits;m3/ton;687.7440185546875
Austria;11;AT;"Chillies and peppers, green";401;Vegetables;m3/ton;49.35710144042969
Austria;11;AT;"Cucumbers and gherkins";397;Vegetables;m3/ton;33.099998474121094
Austria;11;AT;Grapes;560;Fruits;m3/ton;734.364990234375
Austria;11;AT;"Lettuce and chicory";372;Vegetables;m3/ton;109.71099853515625
Austria;11;AT;Maize;56;Cereals;m3/ton;353.3169860839844
Austria;11;AT;"Mushrooms and truffles";449;Vegetables;m3/ton;96.66649627685547
Austria;11;AT;"Peaches and nectarines";534;Fruits;m3/ton;170.79600524902344
Austria;11;AT;Pears;521;Fruits;m3/ton;147.36399841308594
Austria;11;AT;Potatoes;116;Vegetables;m3/ton;106.90499877929688
Austria;11;AT;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;87.50599670410156
Austria;11;AT;Tomatoes;388;Vegetables;m3/ton;14.69540023803711
Belgium;255;BE;Apples;515;Fruits;m3/ton;153.74600219726562
Belgium;255;BE;Asparagus;367;Vegetables;m3/ton;599.791015625
Belgium;255;BE;"Carrots and turnips";426;Vegetables;m3/ton;50.01300048828125
Belgium;255;BE;Cherries;531;Fruits;m3/ton;1156.8599853515625
Belgium;255;BE;"Chillies and peppers, green";401;Vegetables;m3/ton;50.92340087890625
Belgium;255;BE;"Cucumbers and gherkins";397;Vegetables;m3/ton;15.215100288391113
Belgium;255;BE;Grapes;560;Fruits;m3/ton;240.875
Belgium;255;BE;"Lettuce and chicory";372;Vegetables;m3/ton;49.25080108642578
Belgium;255;BE;Maize;56;Cereals;m3/ton;381.33099365234375
Belgium;255;BE;"Mushrooms and truffles";449;Vegetables;m3/ton;9.142860412597656
Belgium;255;BE;"Peaches and nectarines";534;Fruits;m3/ton;0
Belgium;255;BE;Pears;521;Fruits;m3/ton;152.9029998779297
Belgium;255;BE;Potatoes;116;Vegetables;m3/ton;93.0969009399414
Belgium;255;BE;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;202.07000732421875
Belgium;255;BE;Tomatoes;388;Vegetables;m3/ton;7.1927900314331055
France;68;FR;Apples;515;Fruits;m3/ton;188.48599243164062
France;68;FR;Asparagus;367;Vegetables;m3/ton;1302.0799560546875
France;68;FR;"Carrots and turnips";426;Vegetables;m3/ton;83.1509017944336
France;68;FR;Cherries;531;Fruits;m3/ton;1474.0699462890625
France;68;FR;"Chillies and peppers, green";401;Vegetables;m3/ton;82.70500183105469
France;68;FR;"Cucumbers and gherkins";397;Vegetables;m3/ton;50.145198822021484
France;68;FR;Grapes;560;Fruits;m3/ton;505.2430114746094
France;68;FR;"Lettuce and chicory";372;Vegetables;m3/ton;115.11699676513672
France;68;FR;Maize;56;Cereals;m3/ton;546.1510009765625
France;68;FR;"Mushrooms and truffles";449;Vegetables;m3/ton;9.142860412597656
France;68;FR;"Peaches and nectarines";534;Fruits;m3/ton;280.1820068359375
France;68;FR;Pears;521;Fruits;m3/ton;278.6440124511719
France;68;FR;Potatoes;116;Vegetables;m3/ton;97.57740020751953
France;68;FR;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;103.67500305175781
France;68;FR;Tomatoes;388;Vegetables;m3/ton;23.850400924682617
Germany;79;DE;Apples;515;Fruits;m3/ton;160.4149932861328
Germany;79;DE;Asparagus;367;Vegetables;m3/ton;1057.6199951171875
Germany;79;DE;"Carrots and turnips";426;Vegetables;m3/ton;66.43370056152344
Germany;79;DE;Cherries;531;Fruits;m3/ton;3012.179931640625
Germany;79;DE;"Chillies and peppers, green";401;Vegetables;m3/ton;2.8274500370025635
Germany;79;DE;"Cucumbers and gherkins";397;Vegetables;m3/ton;40.59379959106445
Germany;79;DE;Grapes;560;Fruits;m3/ton;308.2380065917969
Germany;79;DE;"Lettuce and chicory";372;Vegetables;m3/ton;100.38300323486328
Germany;79;DE;Maize;56;Cereals;m3/ton;397.1199951171875
Germany;79;DE;"Mushrooms and truffles";449;Vegetables;m3/ton;96.66649627685547
Germany;79;DE;"Peaches and nectarines";534;Fruits;m3/ton;527.0880126953125
Germany;79;DE;Pears;521;Fruits;m3/ton;292.91900634765625
