sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";Value
Austria;11;AT;Cattle;866;"Live animals";m3/ton;0
Belgium;255;BE;Cattle;866;"Live animals";m3/ton;0
France;68;FR;Cattle;866;"Live animals";m3/ton;0
Germany;79;DE;Cattle;866;"Live animals";m3/ton;0
Greece;84;GR;Cattle;866;"Live animals";m3/ton;0
Hungary;97;HU;Cattle;866;"Live animals";m3/ton;0
Italy;106;IT;Cattle;866;"Live animals";m3/ton;0
Morocco;143;MA;Cattle;866;"Live animals";m3/ton;0
Netherlands;150;NL;Cattle;866;"Live animals";m3/ton;0
Poland;173;PL;Cattle;866;"Live animals";m3/ton;0
Portugal;174;PT;Cattle;866;"Live animals";m3/ton;0
Romania;183;RO;Cattle;866;"Live animals";m3/ton;0
Serbia;272;RS;Cattle;866;"Live animals";m3/ton;0
Spain;203;ES;Cattle;866;"Live animals";m3/ton;0
Turkey;223;TR;Cattle;866;"Live animals";m3/ton;0
Austria;11;AT;"Cattle meat";867;Meat;m3/ton;0
Belgium;255;BE;"Cattle meat";867;Meat;m3/ton;0
France;68;FR;"Cattle meat";867;Meat;m3/ton;0
Germany;79;DE;"Cattle meat";867;Meat;m3/ton;0
Greece;84;GR;"Cattle meat";867;Meat;m3/ton;0
Hungary;97;HU;"Cattle meat";867;Meat;m3/ton;0
Italy;106;IT;"Cattle meat";867;Meat;m3/ton;0
Morocco;143;MA;"Cattle meat";867;Meat;m3/ton;0
Netherlands;150;NL;"Cattle meat";867;Meat;m3/ton;0
Poland;173;PL;"Cattle meat";867;Meat;m3/ton;0
Portugal;174;PT;"Cattle meat";867;Meat;m3/ton;0
Romania;183;RO;"Cattle meat";867;Meat;m3/ton;0
Serbia;272;RS;"Cattle meat";867;Meat;m3/ton;0
Spain;203;ES;"Cattle meat";867;Meat;m3/ton;0
Turkey;223;TR;"Cattle meat";867;Meat;m3/ton;0
Austria;11;AT;"Offals of cattle, edible";868;Meat;m3/ton;0
Belgium;255;BE;"Offals of cattle, edible";868;Meat;m3/ton;0
France;68;FR;"Offals of cattle, edible";868;Meat;m3/ton;0
Germany;79;DE;"Offals of cattle, edible";868;Meat;m3/ton;0
Greece;84;GR;"Offals of cattle, edible";868;Meat;m3/ton;0
Hungary;97;HU;"Offals of cattle, edible";868;Meat;m3/ton;0
Italy;106;IT;"Offals of cattle, edible";868;Meat;m3/ton;0
Morocco;143;MA;"Offals of cattle, edible";868;Meat;m3/ton;0
Netherlands;150;NL;"Offals of cattle, edible";868;Meat;m3/ton;0
Poland;173;PL;"Offals of cattle, edible";868;Meat;m3/ton;0
Portugal;174;PT;"Offals of cattle, edible";868;Meat;m3/ton;0
Romania;183;RO;"Offals of cattle, edible";868;Meat;m3/ton;0
Serbia;272;RS;"Offals of cattle, edible";868;Meat;m3/ton;0
Spain;203;ES;"Offals of cattle, edible";868;Meat;m3/ton;0
Turkey;223;TR;"Offals of cattle, edible";868;Meat;m3/ton;0
Austria;11;AT;"Fat, cattle";869;Meat;m3/ton;0
Belgium;255;BE;"Fat, cattle";869;Meat;m3/ton;0
France;68;FR;"Fat, cattle";869;Meat;m3/ton;0
Germany;79;DE;"Fat, cattle";869;Meat;m3/ton;0
Greece;84;GR;"Fat, cattle";869;Meat;m3/ton;0
Hungary;97;HU;"Fat, cattle";869;Meat;m3/ton;0
Italy;106;IT;"Fat, cattle";869;Meat;m3/ton;0
Morocco;143;MA;"Fat, cattle";869;Meat;m3/ton;0
Netherlands;150;NL;"Fat, cattle";869;Meat;m3/ton;0
Poland;173;PL;"Fat, cattle";869;Meat;m3/ton;0
Portugal;174;PT;"Fat, cattle";869;Meat;m3/ton;0
Romania;183;RO;"Fat, cattle";869;Meat;m3/ton;0
Serbia;272;RS;"Fat, cattle";869;Meat;m3/ton;0
Spain;203;ES;"Fat, cattle";869;Meat;m3/ton;0
